Science,5,What is not a possible response of animals that live in cold areas such as the Arctic,some may change to be warm blooded,some may change their fur color to camouflage,some may migrate to warmer areas,some may burrow or hibernate,SC.5.E.7.5
Science,5,After the Earth spins halfway around on its axis& what will happen to the part of the Earth where it had been night?,It will experience daytime,it will stay in darkness,it will get light from other stars,it will become colder,SC.5.E.5.3
Science,5,Which of the following is not true?,outer planets have no rings& while the inner planets all have rings,inner planets are smaller than outer planets,inner planets are called the rocky planets,inner planets have fewer moons than outer planets,SC.5.E.5.2
Science,5,Which of the following is true of stars?,the hottest stars are blue,the newest stars are yellow,the oldest stars are blue,the hottest stars are red,SC.5.E.5.2
Science,5,What is the circulatory system's main function?,transportation of nutrients and oxygen to cells and waste from cells,produces oxygen,expelling waste,converting energy from food,SC.5.L.14.1
Science,5,A student kicks a ball& what force causes the ball to move forward?,push,pull,friction,gravity,SC.5.P.13.1
Science,5,What drives evaporation and transpiration?,the sun,gravity,cooling,,SC.5.E.7.2
Science,5,What is the process by which water changes into water vapor?,evaporation,transpiration,condensation,water cycle,SC.5.E.7.2
Science,5,What system moves blood throughout the body?,circulatory,muscular,skeletal,nervous,SC.5.L.14.1
Science,5,A student touches a hot surface and then quickly pulls their hand away. Which two systems in the human body were involved with the student's action and reaction?,nervous and muscular,skeletal and circulatory,nervous and respiratory,muscular and respiratory,SC.5.L.14.1
Science,4,What causes the moon's phases?,The amount of sunlight reflected onto the moon from the sun,the tilt of the Earth,How fast the moon is moving,Where you are standing on Earth,SC.4.E.5.4
Science,4,In a full moon,the complete moon face is visible,none of the moon is visible,half of the moon is visible,less than half of the moon is visible,SC.4.E.5.2
Science,4,The process by which water& wind& ice& and changes in temperature break down rock into sediment is called,weathering,igneous rock,sedimentary rock,deposition,SC.4.E.6.4
Science,4,What type of rock forms when pressure& temperature& or chemical processes change existing rock?,Metamorphic,igneous,sedimentary rock,rock cycle,SC.4.E.6.1
Science,4,A material that blocks the flow of heat is called a,insulator,conductor,circuit,,SC.4.P.11.2
Science,4,Which material is an example of a poor conductor?,wood,gold,copper,stone,SC.4.P.11.2
Science,4,When two magnets attract& they,pull together,push apart,,,SC.4.P.8.4
Science,4,What happens when two bar magnets repel each other?,The poles of the magnets push away from each other,the poles of the magnets pull towards each other,the centers of the magnets pull towards each other,the centers of the magnets push away from each other,SC.4.P.8.4
Science,4,The energy of motion is called,kinetic energy,potential energy,chemical energy,mechanical energy,SC.4.P.10.2
Science,4,Overlapping food chains in an ecosystem make up...,food web,food chain,niche,habitat,SC.4.L.17.3
Science,4,Gravity makes the Earth revolve around the Sun. Revolve means to...,Travel in a closed path,to have no movement,spin on an axis,move up and down,SC.4.E.5.5
Science,3,Is juice a solid& liquid& or gas?,liquid,gas,solid,,SC.3.P.8.3
Science,3,Is the air inside a balloon a solid& liquid& or gas?,gas,liquid,solid,,SC.3.P.8.3
Science,3,A plant is put in a pot of soil and placed under a table. Tha plant is given water every week& but it stops growing. The plant most likely needs ___,more sunlight,thicker soil,more space,more water,SC.3.L.14.1
